metric,unit,route_name,section_name,year,value
service_count_weekday,count,경부선,경부선,2004,96
service_count_weekday,count,경부선,경부선,2005,100
service_count_weekday,count,경부선,경부선,2006,104
service_count_weekday,count,경부선,경부선,2007,100
service_count_weekday,count,경부선,경부선,2008,104
service_count_weekday,count,경부선,경부선,2009,106
service_count_weekday,count,경부선,경부선,2010,120
service_count_weekday,count,경부선,경부선,2011,100
service_count_weekday,count,경부선,경부선,2012,130
service_count_weekday,count,경부선,경부선,2013,126
service_count_weekday,count,경부선,경부선,2014,119
service_count_weekday,count,경부선,경부선,2015,119
service_count_weekday,count,경부선,경부선,2016,99
service_count_weekday,count,경부선,경부선,2017,105
service_count_weekday,count,경부선,경부선,2018,105
service_count_weekday,count,경부선,경부선,2019,105
service_count_weekday,count,경부선,경부선,2020,105
service_count_weekday,count,경부선,경부선,2021,105
service_count_weekday,count,경부선,경부선,2022,105
service_count_weekday,count,경부선,경부선,2023,111
service_count_weekend,count,경부선,경부선,2004,104
service_count_weekend,count,경부선,경부선,2005,122
service_count_weekend,count,경부선,경부선,2006,126
service_count_weekend,count,경부선,경부선,2007,134
service_count_weekend,count,경부선,경부선,2008,143
service_count_weekend,count,경부선,경부선,2009,143
service_count_weekend,count,경부선,경부선,2010,154
service_count_weekend,count,경부선,경부선,2011,120
service_count_weekend,count,경부선,경부선,2012,152
service_count_weekend,count,경부선,경부선,2013,150
service_count_weekend,count,경부선,경부선,2014,143
service_count_weekend,count,경부선,경부선,2015,139
service_count_weekend,count,경부선,경부선,2016,122
service_count_weekend,count,경부선,경부선,2017,122
service_count_weekend,count,경부선,경부선,2018,122
service_count_weekend,count,경부선,경부선,2019,126
service_count_weekend,count,경부선,경부선,2020,126
service_count_weekend,count,경부선,경부선,2021,126
service_count_weekend,count,경부선,경부선,2022,125
service_count_weekend,count,경부선,경부선,2023,131
fare,krw,경부선,경부선(서울-부산),2004,45000
fare,krw,호남선,호남선(용산-목포),2004,41100
fare,krw,경부선,경부선(서울-부산),2005,44800
fare,krw,호남선,호남선(용산-목포),2005,38000
fare,krw,경부선,경부선(서울-부산),2006,48100
fare,krw,호남선,호남선(용산-목포),2006,40700
fare,krw,경부선,경부선(서울-부산),2007,49800
fare,krw,호남선,호남선(용산-목포),2007,43300
fare,krw,경부선,경부선(서울-부산),2008,51200
fare,krw,호남선,호남선(용산-목포),2008,43300
fare,krw,경부선,경부선(서울-부산),2009,51200
fare,krw,호남선,호남선(용산-목포),2009,43300
fare,krw,경부선,경부선(서울-부산),2010,55500
fare,krw,호남선,호남선(용산-목포),2010,43300
fare,krw,경부선,경부선(서울-부산),2011,57300
fare,krw,호남선,호남선(용산-목포),2011,44700
fare,krw,경부선,경부선(서울-부산),2012,57300
fare,krw,호남선,호남선(용산-목포),2012,44700
fare,krw,경부선,경부선(서울-부산),2013,57300
fare,krw,호남선,호남선(용산-목포),2013,44700
fare,krw,경부선,경부선(서울-부산),2014,57300
fare,krw,호남선,호남선(용산-목포),2014,44700
fare,krw,경부선,경부선(서울-부산),2015,59800
fare,krw,호남선,호남선(용산-목포),2015,52800
fare,krw,경부선,경부선(서울-부산),2016,59800
fare,krw,호남선,호남선(용산-목포),2016,52800
fare,krw,경부선,경부선(서울-부산),2017,59800
fare,krw,호남선,호남선(용산-목포),2017,52800
fare,krw,경부선,경부선(서울-부산),2018,59800
fare,krw,호남선,호남선(용산-목포),2018,52800
fare,krw,경부선,경부선(서울-부산),2019,59800
fare,krw,호남선,호남선(용산-목포),2019,52800
fare,krw,경부선,경부선(서울-부산),2020,59800
fare,krw,호남선,호남선(용산-목포),2020,52800
fare,krw,경부선,경부선(서울-부산),2021,59800
fare,krw,호남선,호남선(용산-목포),2021,52800
fare,krw,경부선,경부선(서울-부산),2022,59800
fare,krw,호남선,호남선(용산-목포),2022,52800
fare,krw,경부선,경부선(서울-부산),2023,59800
fare,krw,호남선,호남선(용산-목포),2023,52800
passengers,thousand_people,경부선,경부선(서울-부산),2004,4129
passengers,thousand_people,호남선,호남선(서울/용산-목포),2004,303
passengers,thousand_people,경부선,경부선(서울-부산),2005,6344
passengers,thousand_people,호남선,호남선(서울/용산-목포),2005,558
passengers,thousand_people,경부선,경부선(서울-부산),2006,6568
passengers,thousand_people,호남선,호남선(서울/용산-목포),2006,626
passengers,thousand_people,경부선,경부선(서울-부산),2007,6293
passengers,thousand_people,호남선,호남선(서울/용산-목포),2007,633
passengers,thousand_people,경부선,경부선(서울-부산),2008,6137
passengers,thousand_people,호남선,호남선(서울/용산-목포),2008,688
passengers,thousand_people,경부선,경부선(서울-부산),2009,5893
passengers,thousand_people,호남선,호남선(서울/용산-목포),2009,642
passengers,thousand_people,경부선,경부선(서울-부산),2010,6433
passengers,thousand_people,호남선,호남선(서울/용산-목포),2010,632
passengers,thousand_people,경부선,경부선(서울-부산),2011,7429
passengers,thousand_people,호남선,호남선(서울/용산-목포),2011,627
passengers,thousand_people,경부선,경부선(서울-부산),2012,7419
passengers,thousand_people,호남선,호남선(서울/용산-목포),2012,548
passengers,thousand_people,경부선,경부선(서울-부산),2013,7418
passengers,thousand_people,호남선,호남선(서울/용산-목포),2013,540
passengers,thousand_people,경부선,경부선(서울-부산),2014,7529
passengers,thousand_people,호남선,호남선(서울/용산-목포),2014,508
passengers,thousand_people,경부선,경부선(서울-부산),2015,7227
passengers,thousand_people,호남선,호남선(서울/용산-목포),2015,632
passengers,thousand_people,경부선,경부선(서울-부산),2016,7149
passengers,thousand_people,호남선,호남선(서울/용산-목포),2016,720
passengers,thousand_people,경부선,경부선(서울-부산),2017,5466
passengers,thousand_people,호남선,호남선(서울/용산-목포),2017,661
passengers,thousand_people,경부선,경부선(서울-부산),2018,5724
passengers,thousand_people,호남선,호남선(서울/용산-목포),2018,693
passengers,thousand_people,경부선,경부선(서울-부산),2019,6032
passengers,thousand_people,호남선,호남선(서울/용산-목포),2019,744
passengers,thousand_people,경부선,경부선(서울-부산),2020,2854
passengers,thousand_people,호남선,호남선(서울/용산-목포),2020,471
passengers,thousand_people,경부선,경부선(서울-부산),2021,2730
passengers,thousand_people,호남선,호남선(서울/용산-목포),2021,533
passengers,thousand_people,경부선,경부선(서울-부산),2022,4879
passengers,thousand_people,호남선,호남선(서울/용산-목포),2022,733
passengers,thousand_people,경부선,경부선(서울-부산),2023,6686
passengers,thousand_people,호남선,호남선(서울/용산-목포),2023,832
